Fichier,Termes,Phrase
blog/bougies-shabbat-horaire-allumage-en.html,bein_hashmashot,"""The doubt of nightfall, that is בין השמשות : one no longer separates the certain tithe, one no longer immerses vessels, one no longer lights the candles , and one no longer makes the eruv of boundaries."" The Mechaber (Rabbi Yosef Karo) thus classes lighting among the acts one no"
blog/bougies-shabbat-horaire-allumage-en.html,bein_hashmashot,"Bein hashmashot — twilight, a doubt בֵּין הַשְּׁמָשׁוֹת bein hashmashot Literally ""between the two suns"": twilight."
blog/bougies-shabbat-horaire-allumage-en.html,tosefet,Tosefet Shabbat — anticipating the entry תּוֹסֶפֶת שַׁבָּת tosefet Shabbat Seif 2 teaches that one must add mundane time to sacred time : entering Shabbat a little before sunset.
blog/bougies-shabbat-horaire-allumage-en.html,plag,"Seif 2 also mentions, in the gloss of the Rema, that one may anticipate the acceptance of Shabbat from פלג המנחה (plag haminchah) — "" מִפְּלַג הַמִּנְחָה וְאֵילָךְ — הָרְשׁוּת בְּיָדוֹ ."" How did people know the time before calendars?"
blog/bougies-shabbat-horaire-allumage-en.html,,"And in practice: 18 minutes, 22, 40?"
blog/bougies-shabbat-horaire-allumage-en.html,bein_hashmashot|plag|tosefet,Marker What the source says / frames Seif 1 During בין השמשות: one no longer lights (it may already be Shabbat) Seif 2 Mitzvah of תוספת שבת: add a clearly daytime moment before the entry 18 minutes Widespread custom in most communities (before sunset) Local variants By place and 
blog/bougies-shabbat-horaire-allumage-en.html,,The widespread custom is 18 minutes before sunset.
blog/bougies-shabbat-horaire-allumage-en.html,bein_hashmashot,What is בין השמשות?
blog/bougies-shabbat-horaire-allumage-en.html,tosefet,What is תוספת שבת?
blog/bougies-shabbat-horaire-allumage-en.html,plag,One must add at least a clearly daytime moment; the Rema permits accepting Shabbat from פלג המנחה.
blog/cremes-cosmetiques-shabbat-en.html,,"1 · Base — Introduction 2 · Lamdan — Pilpul 3 · Synthesis 4 · Daat HaRav 💬 Ask Daat AI a question ♥ Support the project See also on this topic Siman 327 — Sikha (anointing) on Shabbat — oils, creams, perfumes Siman 312 — Intimate hygiene on Shabbat (toilet paper) Siman 318 — Bish"
blog/trier-aliments-borer-shabbat.html,,1 · Base — Initiation 2 · Lamdan — Pilpoul 3 · Synthèse 4 · Daat HaRav 💬 Poser une question à l'IA Daat ♥ Soutenir le projet Voir aussi sur ce sujet Siman 319 — Borer (trier) à Shabbat — mélakha déorayta Siman 312 — Hygiène intime à Shabbat (papier toilette) Siman 318 — Mevashel 
blog/hatmana-envelopper-plats-chauds-shabbat-he.html,bein_hashmashot,"""אין טומנין בשבת אפילו בדבר שאינו מוסיף הבל — אבל בספק חשכה (בין השמשות) טומנין בו."
blog/hatmana-envelopper-plats-chauds-shabbat-he.html,bein_hashmashot|rt,"ההטמנה בו מותרת לפני שבת (ובבין השמשות), אך אסורה בשבת עצמה מגזרה."
blog/regles-vendredi-erev-shabbat.html,tzeit,"Sur le jeûne, il note que celui qui l'accepte doit en principe le tenir jusqu'à la sortie des étoiles , sauf s'il a stipulé, au moment d'accepter, de le rompre plus tôt (usages différents entre jeûne individuel et jeûne communautaire)."
blog/regles-vendredi-erev-shabbat.html,tzeit,"Les seifim du siman (א–ד) Seif Situation Ce que dit la source א (1) Distance de marche Pas plus de 3 parsa'ot, pour avoir le temps de préparer ; assoupli si l'on a prévenu ou si l'on ne peut pas préparer ב (2) Festin le vendredi Interdit de fixer un festin inhabituel (כבוד שבת) ;"
blog/papier-toilette-shabbat.html,,1 · Base — Initiation 2 · Lamdan — Pilpoul 3 · Synthèse 4 · Daat HaRav 💬 Poser une question à l'IA Daat ♥ Soutenir le projet Voir aussi sur ce sujet Siman 312 — Hygiène intime à Shabbat (papier toilette) Siman 318 — Mevashel (cuisson) à Shabbat — mélakha déorayta Siman 319 — Bore
blog/bougies-shabbat-horaire-allumage-he.html,bein_hashmashot|tosefet,"(בין השמשות, תוספת שבת) | DAAT דעת דעת Daat Torah הלכות שבת בלוג 💬 IA Daat אודות FR HE EN ♥ תרומה בית › בלוג › זמן הדלקת נרות שבת הלכות שבת · סימן רס״א אימתי מדליקים נרות שבת?"
blog/bougies-shabbat-horaire-allumage-he.html,shkia|bein_hashmashot,"לימוד על פי השולחן ערוך · מאת הרב יוסף חיים סממה · ג׳ ביוני 2026 זמן הדלקת נרות שבת הוא קודם השקיעה, ולעולם לא בתוך בין השמשות (שבו ההדלקה כבר אסורה)."
blog/bougies-shabbat-horaire-allumage-he.html,shkia|tosefet,"המנהג הרווח, התואם את מצות תוספת שבת, הוא להדליק 18 דקות קודם שקיעת המקום."
blog/bougies-shabbat-horaire-allumage-he.html,bein_hashmashot,"התשובה בקצרה מדליקים את הנרות קודם כניסת השבת , בעוד יום — לא בתוך בין השמשות (ספק חשיכה), שבו ההדלקה כבר אסורה."
blog/bougies-shabbat-horaire-allumage-he.html,tosefet,התורה אף מחייבת להקדים מעט: זוהי מצות תוספת שבת .
blog/bougies-shabbat-horaire-allumage-he.html,shkia,המנהג הרווח ביותר הוא להדליק 18 דקות קודם השקיעה ; הזמנים משתנים לפי המקומות והקהילות.
blog/bougies-shabbat-horaire-allumage-he.html,shkia,"הסעיף הראשון של הסימן מתאר אזור זה, השקיעה, ואת מה שמותר ואסור לעשות בו: סְפֵק חֲשֵׁכָה וְהִיא בֵּין הַשְּׁמָשׁוֹת — אֵין מְעַשְּׂרִים אֶת הַוַּדַּאי, וְאֵין מַטְבִּילִין אֶת הַכֵּלִים, וְאֵין מַדְלִיקִין אֶת הַנֵּרוֹת, וְאֵין מְעָרְבִין עֵרוּבֵי תְּחוּמִין."
blog/bougies-shabbat-horaire-allumage-he.html,bein_hashmashot,"״ספק חשיכה, והיא בין השמשות : אין מעשרים את הוודאי, אין מטבילים את הכלים, אין מדליקים את הנרות , ואין מערבין עירובי תחומין.״ (סימן רס״א סעיף א׳.) המחבר (רבי יוסף קארו) מונה אפוא את ההדלקה בין הדברים שכבר אין עושים משהחל בין השמשות."
blog/bougies-shabbat-horaire-allumage-he.html,shkia|bein_hashmashot,"בין השמשות — השקיעה, זמן של ספק בֵּין הַשְּׁמָשׁוֹת ״בין שני השמשות״ כפשוטו ״בין שני השמשות״: זמן השקיעה."
blog/bougies-shabbat-horaire-allumage-he.html,shkia|tosefet,תוספת שבת — להקדים את הכניסה תּוֹסֶפֶת שַׁבָּת הוספה מן החול על הקודש סעיף ב׳ מלמד שיש להוסיף מן החול על הקודש : להיכנס לשבת מעט קודם השקיעה.
blog/bougies-shabbat-horaire-allumage-he.html,plag,"סעיף ב׳, בהגהת הרמ״א, מזכיר אף שאפשר להקדים את קבלת השבת כבר מ פלג המנחה (״ מִפְּלַג הַמִּנְחָה וְאֵילָךְ — הָרְשׁוּת בְּיָדוֹ ״)."
blog/bougies-shabbat-horaire-allumage-he.html,,"ולמעשה: 18 דקות, 22, 40?"
blog/bougies-shabbat-horaire-allumage-he.html,shkia|bein_hashmashot|plag|tosefet,"סימן מה אומר / ממסגר המקור סעיף א׳ בבין השמשות: אין עוד מדליקים (שמא כבר שבת) סעיף ב׳ מצות תוספת שבת: להוסיף זמן שהוא ודאי יום קודם הכניסה 18 דקות מנהג רווח ברוב הקהילות (קודם השקיעה) שינויים מקומיים לפי המקומות והמנהגים — בירושלים המנהג להקדים יותר (22 דקות), ואצל החסידים 40 דקו"
blog/bougies-shabbat-horaire-allumage-he.html,bein_hashmashot,"קודם כניסת השבת, בעוד יום, ולא בבין השמשות שבו ההדלקה כבר אסורה (סימן רס״א)."
blog/bougies-shabbat-horaire-allumage-he.html,shkia,המנהג הרווח הוא 18 דקות קודם השקיעה.
blog/bougies-shabbat-horaire-allumage-he.html,bein_hashmashot,מהו בין השמשות?
blog/bougies-shabbat-horaire-allumage-he.html,shkia,"השקיעה, ״בין שני השמשות״: זמן של ספק (שמא כבר שבת)."
blog/bougies-shabbat-horaire-allumage-he.html,tosefet,מהי תוספת שבת?
blog/bougies-shabbat-horaire-allumage-he.html,plag,יש להוסיף לכל הפחות זמן שהוא ודאי יום; הרמ״א מתיר לקבל את השבת מפלג המנחה.
blog/index-he.html,tzeit,"ג׳ ביוני 2026 · לקריאת המאמר → הלכות שבת · סימן רמ״ח האם מותר לצאת למסע (ספינה, שיירה) סמוך לשבת?"
blog/index-he.html,bein_hashmashot|tosefet,"בין השמשות, תוספת שבת, 18 הדקות: מתי בדיוק מדליקים את הנרות כדי להיכנס לשבת."
blog/index-he.html,plag|tosefet,"מצות תוספת שבת, ספק החשיכה, ושיטת הרמ״א מפלג המנחה — מבוארים על פי השולחן ערוך."
blog/honorer-shabbat-kavod-oneg.html,,"(Source : Choulhan Aroukh, Orah Haïm 242:1.) Les 3 catégories, selon ses moyens Comment concilier « honore largement » (Rav Yehouda : bettes, gros poissons, têtes d'ail — Shabbat 118b) et « même une chose minime suffit » (Rav Hiya bar Achi) et « fais de ton Shabbat un jour ordina"
blog/association-juif-non-juif-shabbat-he.html,tzeit,התנאי הראשוני (הִתְנָה מִתְּחִלָּה) מתורגם כיום לסעיף בהסכם המייסדים המייחס את תוצאת השבת לשותף הגוי.
blog/association-juif-non-juif-shabbat-he.html,shkia,הבחנת סעיף ב' — עסק משותף מול השתתפות ברווח בלבד — מאירה את המבנים שבהם היהודי הוא יותר משקיע פסיבי.
blog/honorer-shabbat-kavod-oneg-he.html,tzeit,"כמה מן הפוסקים (מהרש״ל, מהרש״א) מסייגים — מחשש להסתבך בחוב ללא יכולת פירעון — אך היסוד עומד: הוצאת השבת היא הוצאה של ביטחון."
blog/rechauffer-plat-shabbat.html,,"(plata, casserole, eau chaude) | DAAT דעת דעת Daat Torah Hilkhot Shabbat Blog 💬 IA Daat À propos ♥ Soutenir Accueil › Blog › Réchauffer un plat le Shabbat Hilkhot Shabbat · Siman 318 Peut-on réchauffer un plat le Shabbat ?"
blog/rechauffer-plat-shabbat.html,,"Étude basée sur le Choulhan Aroukh · par le Rav Yossef Haim Samama · 3 juin 2026 Réchauffer un plat le Shabbat (Choulhan Aroukh, Siman 318) dépend de trois paramètres : un aliment solide entièrement cuit puis refroidi peut être réchauffé (אין בישול אחר בישול), un liquide refroidi"
blog/rechauffer-plat-shabbat.html,,"Ces gestes quotidiens touchent à l'une des mélakhot les plus complexes du Shabbat : מבשל (la cuisson), traitée au Siman 318 du Choulhan Aroukh."
blog/rechauffer-plat-shabbat.html,,Le siman 318 en codifie les règles sur de nombreux seifim.
blog/rechauffer-plat-shabbat.html,admour,"Étudier le Siman 318 en profondeur Quatre niveaux, du débutant au talmid hakham — texte hébreu, traduction, pilpoul et la chitah de l'Admour HaZaken."
blog/rechauffer-plat-shabbat.html,,1 · Base — Initiation 2 · Lamdan — Pilpoul 3 · Synthèse 4 · Daat HaRav 💬 Poser une question à l'IA Daat ♥ Soutenir le projet Voir aussi sur ce sujet Siman 318 — Mevashel (cuisson) à Shabbat — mélakha déorayta Siman 312 — Hygiène intime à Shabbat (papier toilette) Siman 319 — Bore
blog/voyage-bateau-caravane-avant-shabbat-he.html,tzeit,"האם מותר לצאת למסע (ספינה, שיירה) סמוך לשבת?"
blog/voyage-bateau-caravane-avant-shabbat-he.html,tzeit,"(סימן רמ״ח) | DAAT דעת דעת Daat Torah הלכות שבת בלוג 💬 IA Daat אודות FR HE EN ♥ תרומה בית › בלוג › מסע סמוך לשבת הלכות שבת · סימן רמ״ח האם מותר לצאת למסע (ספינה, שיירה) סמוך לשבת?"
blog/voyage-bateau-caravane-avant-shabbat-he.html,tzeit,האם מותר לצאת?
blog/voyage-bateau-caravane-avant-shabbat-he.html,tzeit,"סימן רמ״ח אוסר לצאת למסע בים המלח בשלושת הימים שקודם השבת לדבר רשות, מפני עונג שבת."
blog/index.html,bein_hashmashot|tosefet,"Le moment précis de l'allumage : בין השמשות (le crépuscule, un doute), la mitsva de תוספת שבת (anticiper l'entrée) et l'usage des 18 minutes."
blog/index.html,,3 juin 2026 · Lire l'article → Hilkhot Shabbat · Siman 318 Peut-on réchauffer un plat le Shabbat ?
blog/trier-aliments-borer-shabbat-he.html,tzeit,"ברירה מבעוד מועד, הוצאת הפסולת, או שימוש בכלי ברירה — בעייתיים; למקרה מעשי — שאל את הרב שלך."
blog/trier-aliments-borer-shabbat-en.html,,1 · Base — Introduction 2 · Lamdan — Pilpul 3 · Synthesis 4 · Daat HaRav 💬 Ask Daat AI a question ♥ Support the project See also on this topic Siman 319 — Borer (selecting) on Shabbat — a melakha de-oraita Siman 312 — Intimate hygiene on Shabbat (toilet paper) Siman 318 — Bishoul
blog/honorer-shabbat-kavod-oneg-en.html,,"(Source: Shulchan Aruch, Orach Chaim 242:1.) The 3 categories, according to one's means How do we reconcile ""honor it generously"" (Rav Yehudah: beets, large fish, heads of garlic — Shabbos 118b), ""even a small thing suffices"" (Rav Chiya bar Ashi), and ""make your Shabbos like a we"
blog/se-doucher-laver-shabbat-en.html,,1 · Base — Introduction 2 · Lamdan — Pilpul 3 · Synthesis 4 · Daat HaRav 💬 Ask Daat AI a question ♥ Support the project See also on this topic Siman 326 — Bathing on Shabbat Siman 312 — Intimate hygiene on Shabbat (toilet paper) Siman 318 — Bishoul (cooking) on Shabbat — a melakh
blog/se-doucher-laver-shabbat.html,,1 · Base — Initiation 2 · Lamdan — Pilpoul 3 · Synthèse 4 · Daat HaRav 💬 Poser une question à l'IA Daat ♥ Soutenir le projet Voir aussi sur ce sujet Siman 326 — Se laver à Shabbat Siman 312 — Hygiène intime à Shabbat (papier toilette) Siman 318 — Mevashel (cuisson) à Shabbat — mé
blog/rechauffer-plat-shabbat-en.html,,"(hot plate, pot, hot water) | DAAT דעת דעת Daat Torah Hilkhot Shabbat Blog 💬 Daat AI About FR HE EN ♥ Support Home › Blog › Reheating Food on Shabbat Hilkhot Shabbat · Siman 318 Can You Reheat Food on Shabbat?"
blog/rechauffer-plat-shabbat-en.html,,"Study based on the Shulchan Aruch · by Rav Yossef Haim Samama · June 3, 2026 Reheating food on Shabbat (Shulchan Aruch, Siman 318) depends on three factors: a solid food fully cooked and then cooled may be reheated (ein bishul achar bishul), a cooled liquid may not, and the outco"
blog/rechauffer-plat-shabbat-en.html,,"These everyday actions touch on one of the most intricate melachot of Shabbat: מבשל (cooking), treated in Siman 318 of the Shulchan Aruch."
blog/rechauffer-plat-shabbat-en.html,,Siman 318 codifies its rules across many seifim.
blog/rechauffer-plat-shabbat-en.html,,"Study Siman 318 in depth Four levels, from beginner to talmid chacham — Hebrew text, translation, pilpul and the shitah of the Admur HaZaken."
blog/rechauffer-plat-shabbat-en.html,,1 · Base — Introduction 2 · Lamdan — Pilpul 3 · Synthesis 4 · Daat HaRav 💬 Ask Daat AI a question ♥ Support the project See also on this topic Siman 318 — Bishoul (cooking) on Shabbat — a melakha de-oraita Siman 312 — Intimate hygiene on Shabbat (toilet paper) Siman 319 — Borer (
blog/bougies-shabbat-horaire-allumage.html,bein_hashmashot|tosefet,"(bein hashemashot, tossefet Shabbat) | DAAT דעת דעת Daat Torah Hilkhot Shabbat Blog 💬 IA Daat À propos ♥ Soutenir Accueil › Blog › Heure d'allumage des bougies de Shabbat Hilkhot Shabbat · Siman 261 À quelle heure allumer les bougies de Shabbat ?"
blog/bougies-shabbat-horaire-allumage.html,shkia|bein_hashmashot,"Étude basée sur le Choulhan Aroukh · par le Rav Yossef Haim Samama · 3 juin 2026 L'heure d'allumage des bougies de Shabbat se situe avant le coucher du soleil, jamais pendant בין השמשות (le crépuscule, où l'allumage est déjà interdit)."
blog/bougies-shabbat-horaire-allumage.html,shkia|tosefet,"L'usage le plus répandu, conforme à la mitsva de תוספת שבת, est d'allumer 18 minutes avant le coucher du soleil local."
blog/bougies-shabbat-horaire-allumage.html,bein_hashmashot,"Réponse en bref On allume les bougies avant l'entrée du Shabbat , pendant qu'il fait encore jour — pas pendant בין השמשות (le crépuscule), où l'allumage est déjà interdit."
blog/bougies-shabbat-horaire-allumage.html,tosefet,La Torah demande même d' anticiper un peu : c'est la mitsva de תוספת שבת .
blog/bougies-shabbat-horaire-allumage.html,shkia,L'usage le plus répandu est d'allumer 18 minutes avant le coucher du soleil ; les horaires changent selon les lieux et les communautés.
blog/bougies-shabbat-horaire-allumage.html,bein_hashmashot,"« Le doute de la nuit, c'est-à-dire בין השמשות : on ne sépare plus la dîme certaine, on n'immerge plus les ustensiles, on n'allume plus les bougies , et l'on ne fait plus l'érouv des frontières."
blog/bougies-shabbat-horaire-allumage.html,bein_hashmashot,"בין השמשות — le crépuscule, un doute בֵּין הַשְּׁמָשׁוֹת bein hashemashot Littéralement « entre les deux soleils » : le crépuscule."
blog/bougies-shabbat-horaire-allumage.html,shkia|tosefet,תוספת שבת — anticiper l'entrée תּוֹסֶפֶת שַׁבָּת tossefet Shabbat Le seif ב enseigne qu'il faut ajouter du temps profane au temps sacré : entrer dans le Shabbat un peu avant le coucher du soleil.
blog/bougies-shabbat-horaire-allumage.html,plag,"Le seif ב mentionne aussi, dans la glose du Rama, qu'on peut anticiper l'acceptation du Shabbat dès פלג המנחה (« מִפְּלָג הַמִּנְחָה וְאֵילָךְ — הָרְשׁוּת בְּיָדוֹ »)."
blog/bougies-shabbat-horaire-allumage.html,,"Et en pratique : 18 minutes, 22, 40 ?"
blog/bougies-shabbat-horaire-allumage.html,shkia|bein_hashmashot|plag|tosefet,Repère Ce que dit / encadre la source Seif א Pendant בין השמשות : on n'allume plus (c'est peut-être déjà Shabbat) Seif ב Mitsva de תוספת שבת : ajouter un moment clairement diurne avant l'entrée 18 minutes Usage répandu dans la majorité des communautés (avant le coucher du soleil)
blog/bougies-shabbat-horaire-allumage.html,shkia,L'usage répandu est 18 minutes avant le coucher du soleil.
blog/bougies-shabbat-horaire-allumage.html,bein_hashmashot,Qu'est-ce que בין השמשות ?
blog/bougies-shabbat-horaire-allumage.html,tosefet,Qu'est-ce que תוספת שבת ?
blog/bougies-shabbat-horaire-allumage.html,plag,Il faut ajouter au moins un moment clairement diurne ; le Rama permet d'accepter le Shabbat dès פלג המנחה.
